tag,count,company,possible parent
nj,567,,
volkswagen,565,,
other,562,,
health & fitness,562,,
lal,561,,
eu affinity answers,559,,
us omnidigital by meritdirect,558,,
section,558,,
information technology,557,,
qsr,557,,
personality,556,,
brand intent,556,,
demographics & lifestyle,555,,
vehicle make,553,,
fashion &amp, accessories,552,
medical specialty,552,,
apple,551,,
frequent spenders,551,,
near market auto buyer,551,,
nam,551,,
home value,550,,
dlx politics,550,,
outstream_default,550,,
6,548,,
cmv,548,,
tivo,546,,
meddata group,546,,
video,545,,
likely to purchase,544,,
acura,543,,
financial attributes,543,,
property,542,,
categories,542,,
gmc,541,,
crosspixel,539,,
b,538,,
or,538,,
hotel,537,,
sic4 industry,537,,
acxiom us politics,537,,
cbd infused,537,,
departure locations,533,,
recency,533,,
category purchasing,532,,
apac selling simplified,531,,
samba tv,530,,
me,529,,
precision,528,,
skyhook,526,,
wealth,525,,
pet,524,,
home depot,524,,
health & beauty,523,,
mode,523,,
discount,522,,
geography,522,,
retail & services,522,,
likely retailer,522,,
subaru,520,,
about to buy,520,,
north carolina,519,,
twine data,519,,
edmunds powered by oracle,519,,
offline cpg purchasers,518,,
company industry,518,,
&,517,,
gravy,516,,
predictive in,516,,
b2b targets,515,,
investing,512,,
ohio,512,,
ecommerce,511,,
meat,511,,
autos & vehicles,511,,
celebrities,511,,
21+,510,,
visualdna personality,510,,
grocery stores,509,,
acxiom de,508,,
class,507,,
visa audiences powered by oracle,505,,
wine,504,,
cadillac,502,,
deep root analytics,502,,
exelate interest,501,,
cable_tv,501,,
lifestage,500,,
auto & vehicles,500,,
global x,500,,
legal,499,,
chrysler,499,,
travelers,499,,
michigan,498,,
isp,496,,
bk,496,,
networks & shows,495,,
infiniti,494,,
marketing,494,,
ibm,493,,
50,492,,
household composition,491,,
b2b premium,490,,
sport,489,,
colombia,488,,
ixi,488,,
device ownership,488,,
state political districts,487,,
purchase intention,486,,
destination,485,,
drama,484,,
predictive locations,484,,
buick,483,,
brand shoppers,483,,
audience portraits,483,,
furniture,482,,
frozen food,482,,
toys,482,,
location targeting,482,,
place category visitors,482,,
reach,479,,
30,479,,
visualdna entertainment,479,,
company past purchases,477,,
crm,476,,
industries & occupations,475,,
pa,475,,
custom segment,473,,
nielsen gracenote smart tv acr ad exposure,472,,
integral / ias,469,,
intent to buy,466,,
party,465,,
equifax b2b,465,,
123push,465,,
l2 voter data,463,,
accessories,462,,
cookies,461,,
gaming,461,,
lotame shopping & retail,460,,
marital status,459,,
yes,459,,
loans,458,,
beverage,458,,
home & real estate,457,,
exelate ca interest,457,,
consumer xchg,456,,
car repair,456,,
high propensity,455,,
ch,455,,
consumer targets,453,,
retail product,453,,
nielsen scarborough,452,,
transportation,451,,
55,451,,
dlx retail,451,,
company revenue,450,,
alc political precision,450,,
sharethis_us,449,,
mitsubishi,448,,
coffee,448,,
medium propensity,448,,
kids,447,,
mt,447,,
hd,447,,
service,446,,
reading,446,,
body style,446,,
xaxis custom,446,,
missouri,444,,
appliances,444,,
visitation,444,,
acxiom us lifestyle,444,,
purchase intent car makes,444,,
team sports,441,,
b2b segments,441,,
mobile & app,441,,
popular programs,441,,
technology onsite,439,,
killi,439,,
crossix ga,438,,
classic extended audience,438,,
professional groups,437,,
v12 group,437,,
cpg/fmcg,437,,
product categories,437,,
u.s. congressional districts,437,,
polk,436,,
to,435,,
us congressional districts,435,,
0,434,,
microsegment,434,,
vehicle owners,433,,
aud,432,,
minnesota,431,,
purchase history,431,,
2,430,,
fitness,430,,
1,429,,
lincoln,428,,
virginia,428,,
heavy credit/debit buyer,428,,
dlx consumer packaged goods,428,,
fusion,427,,
medium credit/debit buyer,427,,
cable tv,426,,
us dun & bradstreet,426,,
auto service and repair,426,,
energy,425,,
d,424,,
indiana,424,,
se ndr,422,,
year,421,,
3rd,421,,
automobile,419,,
general,419,,
africa,419,,
integral/ias,418,,
group,418,,
specialty retail,418,,
dk ndr,418,,
tv viewership,418,,
acxiom us demographic,418,,
ia,417,,
science,416,,
us selling simplified,416,,
fr experian,416,,
casual restaurants,414,,
retargeting,414,,
operam,414,,
all viewers,413,,
nielsen auto,413,,
frozen foods,412,,
females,411,,
colorado,411,,
heavy,411,,
jewelry,410,,
super spenders 360,410,,
mi,409,,
light credit/debit buyer,409,,
uk eq data,409,,
comscore tv audiences powered by neustar,408,,
tx,407,,
1st,406,,
audience xchange,406,,
departures,406,,
hot prospects,405,,
teams,405,,
males,404,,
polk audiences,404,,
captify,404,,
nz experian,404,,
super spenders,404,,
11,403,,
physician,403,,
segment,402,,
massachusetts,402,,
professionals by industry,402,,
id pricebook,402,,
hhi,401,,
household supplies,400,,
vehicle year,400,,
digitalaudience,400,,
xd,399,,
tennessee,399,,
cpg and fmcg,399,,
at,398,,
geopulse audiences,398,,
msft,397,,
purchase intender,397,,
life events,396,,
flight,396,,
health & wellness,395,,
audience interest,395,,
illuma contextual,395,,
football,394,,
b2b job function/roles,394,,
washington,393,,
frequency,393,,
targetready,393,,
tivo tv segment,393,,
bombora b2b,393,,
uk iri,393,,
fmcg purchasing behaviour,393,,
7,392,,
au roy morgan,392,,
qta,392,,
historical buyer or shopper of,391,,
psychographics,389,,
epicerie,389,,
current customer,389,,
seasonal and holiday and special events,387,,
south carolina,386,,
title specific,386,,
political precision,386,,
engineering,385,,
basketball,385,,
frequent,385,,
footfall,385,,
location miq,385,,
flight miq,385,,
footfall miq,385,,
12,384,,
3,383,,
social media,383,,
sports fans,383,,
"clothing, shoes and accessories",383,,
accommodation,381,,
high tech,381,,
