,Data Provider Name,Data Provider ID,Segment ID,Segment Name
201,Lotame,422,1434563,browser language - spanish (lotame)
202,Lotame,422,1434564,browser language - turkish (lotame)
203,Lotame,422,155970,credit level - excellent (lotame)
204,Lotame,422,155971,credit level - good (lotame)
205,Lotame,422,155972,credit level - poor (lotame)
206,Lotame,422,1434593,ethnicity - asian (lotame)
207,Lotame,422,1434594,ethnicity - hispanic (lotame)
208,Lotame,422,1434595,ethnicity - middle eastern (lotame)
209,Lotame,422,1434596,ethnicity - native american (lotame)
210,Lotame,422,1434598,ethnicity - white (lotame)
211,Lotame,422,132749,hispanics or spanish speakers (lotame)
212,Lotame,422,1434611,home value - 750k+ (lotame)
213,Lotame,422,1434616,international latin america and us hispanics (lotame)
214,Lotame,422,1467143,religious or spiritual (lotame)
215,Lotame,422,1467148,spanish speakers (lotame)
216,Lotame,422,1434535,android users - art (lotame)
217,Lotame,422,1434536,android users - computer & technology (lotame)
218,Lotame,422,1434537,android users - electronics & gadgets (lotame)
219,Lotame,422,1434538,android users - food & beverages (lotame)
220,Lotame,422,1434539,android users - health & fitness (lotame)
221,Lotame,422,1434540,android users - hispanics (lotame)
222,Lotame,422,1434541,android users - movies (lotame)
223,Lotame,422,1434542,android users - parenting (lotame)
224,Lotame,422,1434543,android users - social media users (lotame)
225,Lotame,422,1434544,android users - spanish speaking (lotame)
226,Lotame,422,1434545,android users - sports (lotame)
227,Lotame,422,1434546,android users - style & fashion (lotame)
228,Lotame,422,1434547,android users - travel (lotame)
229,Lotame,422,1434549,android users - tv (lotame)
230,Lotame,422,1434550,android users - video games (lotame)
231,Lotame,422,1434551,android users (lotame)
232,Lotame,422,105966,art - books & magazines (lotame)
233,Lotame,422,105967,art - photography (lotame)
234,Lotame,422,105965,art (lotame)
235,Lotame,422,4027537,arts & culture (lotame)
236,Lotame,422,2141762,crafts and hobbies (lotame)
237,Lotame,422,2141705,reading (lotame)
238,Lotame,422,1467160,young adult literature (lotame)
239,Lotame,422,643032,automobile - domestic (lotame)
240,Lotame,422,643036,automobile - foreign (lotame)
241,Lotame,422,1873545,automobile brands - acura (lotame)
