,provider_name,provider_id,id,name,name_list
101100,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868449,oracle country-specific audiences > france (fr) > business (b2b) > firmographic > company industry > wholesale and retail trade > retail trade (bluekai),"['oracle country', 'specific audiences', 'france', 'fr', 'business', 'b2b', 'firmographic', 'company industry', 'wholesale and retail trade', 'retail trade', 'bluekai']"
101101,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868451,oracle country-specific audiences > germany (de) > business (b2b) > employee attributes > management level > executives > c-level executives (bluekai),"['oracle country', 'specific audiences', 'germany', 'de', 'business', 'b2b', 'employee attributes', 'management level', 'executives', 'c', 'level executives', 'bluekai']"
101102,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868452,oracle country-specific audiences > germany (de) > business (b2b) > employee attributes > management level > executives > directors (bluekai),"['oracle country', 'specific audiences', 'germany', 'de', 'business', 'b2b', 'employee attributes', 'management level', 'executives', 'directors', 'bluekai']"
101103,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868453,oracle country-specific audiences > germany (de) > business (b2b) > employee attributes > management level > executives > presidents and vice presidents (bluekai),"['oracle country', 'specific audiences', 'germany', 'de', 'business', 'b2b', 'employee attributes', 'management level', 'executives', 'presidents and vice presidents', 'bluekai']"
101104,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868454,oracle country-specific audiences > germany > b2b > demographic > occupations & job functions > healthcare > nurses (bluekai),"['oracle country', 'specific audiences', 'germany', 'b2b', 'demographic', 'occupations & job functions', 'healthcare', 'nurses', 'bluekai']"
101105,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868455,oracle country-specific audiences > germany > b2b > demographic > occupations & job functions > healthcare > pharmacists (bluekai),"['oracle country', 'specific audiences', 'germany', 'b2b', 'demographic', 'occupations & job functions', 'healthcare', 'pharmacists', 'bluekai']"
101106,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868456,oracle country-specific audiences > germany > b2b > demographic > occupations & job functions > healthcare > therapists (bluekai),"['oracle country', 'specific audiences', 'germany', 'b2b', 'demographic', 'occupations & job functions', 'healthcare', 'therapists', 'bluekai']"
101107,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868457,oracle country-specific audiences > germany > b2b > demographic > occupations & job functions > healthcare > dentists (bluekai),"['oracle country', 'specific audiences', 'germany', 'b2b', 'demographic', 'occupations & job functions', 'healthcare', 'dentists', 'bluekai']"
101108,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868458,oracle country-specific audiences > germany > b2b > demographic > occupations & job functions > healthcare > doctors (bluekai),"['oracle country', 'specific audiences', 'germany', 'b2b', 'demographic', 'occupations & job functions', 'healthcare', 'doctors', 'bluekai']"
101109,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868459,oracle country-specific audiences > germany > b2b > firmographic > industry > business & professional services > advertising & market research (bluekai),"['oracle country', 'specific audiences', 'germany', 'b2b', 'firmographic', 'industry', 'business & professional services', 'advertising & market research', 'bluekai']"
101110,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868460,oracle country-specific audiences > germany > b2b > firmographic > industry > business & professional services > architecture & engineering (bluekai),"['oracle country', 'specific audiences', 'germany', 'b2b', 'firmographic', 'industry', 'business & professional services', 'architecture & engineering', 'bluekai']"
101111,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868461,oracle country-specific audiences > germany > b2b > firmographic > industry > business & professional services > management consulting (bluekai),"['oracle country', 'specific audiences', 'germany', 'b2b', 'firmographic', 'industry', 'business & professional services', 'management consulting', 'bluekai']"
101112,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868463,oracle country-specific audiences > germany > b2b > firmographic > industry > business & professional services > scientific research & development (bluekai),"['oracle country', 'specific audiences', 'germany', 'b2b', 'firmographic', 'industry', 'business & professional services', 'scientific research & development', 'bluekai']"
101113,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868464,"oracle country-specific audiences > germany > b2b > firmographic > industry > business & professional services > accounting, auditing & legal (bluekai)","['oracle country', 'specific audiences', 'germany', 'b2b', 'firmographic', 'industry', 'business & professional services', 'accounting, auditing & legal', 'bluekai']"
101114,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868465,oracle country-specific audiences > germany > b2b > firmographic > industry > government > civil service (bluekai),"['oracle country', 'specific audiences', 'germany', 'b2b', 'firmographic', 'industry', 'government', 'civil service', 'bluekai']"
101115,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868466,oracle country-specific audiences > germany > b2b > firmographic > industry > government > military (bluekai),"['oracle country', 'specific audiences', 'germany', 'b2b', 'firmographic', 'industry', 'government', 'military', 'bluekai']"
101116,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868467,oracle country-specific audiences > germany > b2b > firmographic > industry > healthcare & social work > hospitals & medical offices (bluekai),"['oracle country', 'specific audiences', 'germany', 'b2b', 'firmographic', 'industry', 'healthcare & social work', 'hospitals & medical offices', 'bluekai']"
101117,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868468,oracle country-specific audiences > germany > b2b > firmographic > industry > financial & insurance services > investment banking (bluekai),"['oracle country', 'specific audiences', 'germany', 'b2b', 'firmographic', 'industry', 'financial & insurance services', 'investment banking', 'bluekai']"
101118,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868469,oracle country-specific audiences > germany > b2b > firmographic > industry > financial & insurance services > securities & commodities brokerage (bluekai),"['oracle country', 'specific audiences', 'germany', 'b2b', 'firmographic', 'industry', 'financial & insurance services', 'securities & commodities brokerage', 'bluekai']"
101119,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868470,oracle country-specific audiences > germany > b2b > firmographic > industry > financial & insurance services > wealth management (bluekai),"['oracle country', 'specific audiences', 'germany', 'b2b', 'firmographic', 'industry', 'financial & insurance services', 'wealth management', 'bluekai']"
101120,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868471,oracle country-specific audiences > germany > b2b > firmographic > industry > financial & insurance services > banking & credit (bluekai),"['oracle country', 'specific audiences', 'germany', 'b2b', 'firmographic', 'industry', 'financial & insurance services', 'banking & credit', 'bluekai']"
101121,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868472,oracle country-specific audiences > germany > b2b > firmographic > industry > financial & insurance services > fund management (bluekai),"['oracle country', 'specific audiences', 'germany', 'b2b', 'firmographic', 'industry', 'financial & insurance services', 'fund management', 'bluekai']"
101122,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868473,oracle country-specific audiences > germany > b2b > firmographic > industry > financial & insurance services > insurance (bluekai),"['oracle country', 'specific audiences', 'germany', 'b2b', 'firmographic', 'industry', 'financial & insurance services', 'insurance', 'bluekai']"
101123,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868474,oracle country-specific audiences > germany > b2b > firmographic > industry > education > colleges & universities (bluekai),"['oracle country', 'specific audiences', 'germany', 'b2b', 'firmographic', 'industry', 'education', 'colleges & universities', 'bluekai']"
101124,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868475,oracle country-specific audiences > germany > b2b > firmographic > industry > education > schools (bluekai),"['oracle country', 'specific audiences', 'germany', 'b2b', 'firmographic', 'industry', 'education', 'schools', 'bluekai']"
101125,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868476,oracle country-specific audiences > germany > b2b > firmographic > industry > manufacturing > automotive (bluekai),"['oracle country', 'specific audiences', 'germany', 'b2b', 'firmographic', 'industry', 'manufacturing', 'automotive', 'bluekai']"
